Alwar,Barley,Alwar APMC Mandi,2018-09-05,2490.092420884132
Sri Ganganagar,Pomegranate,Padampur Mandi,2018-11-20,2348.904921887321
Kota,Maize,Ramganj Mandi,2018-04-06,2448.2875127639013
Nagaur,Fenugreek,Didwana Mandi,2018-09-26,2714.41951825531
Nagaur,Gram,Didwana Mandi,2018-10-06,2883.356996509154
Kota,Fennel,Kota APMC Mandi,2019-03-17,2671.146199259072
Kota,Pulses,Kota APMC Mandi,2019-02-01,2530.516962541531
Kota,Chilli,Kota APMC Mandi,2018-09-29,2949.403531091328
Bhilwara,Onion,Mandal Mandi,2018-05-27,2406.1490580845434
Sri Ganganagar,Fenugreek,Sri Ganganagar APMC Mandi,2019-01-30,2809.275801510072
Nagaur,Onion,Didwana Mandi,2019-03-01,2413.5811604946166
Sri Ganganagar,Pomegranate,Padampur Mandi,2018-11-14,2629.306887403268
Jodhpur,Tomato,Sojati Gate Mandi,2018-05-10,2465.9312305628646
Alwar,Pulses,Alwar APMC Mandi,2018-06-04,2483.2443452041566
Sri Ganganagar,Tomato,Sri Ganganagar APMC Mandi,2018-10-16,2386.784044761337
Nagaur,Pomegranate,Nagaur APMC Mandi,2019-05-05,2903.456209354208
Nagaur,Sugarcane,Nagaur APMC Mandi,2018-05-10,2280.1221885674395
Nagaur,Tomato,Nagaur APMC Mandi,2019-04-30,2277.9303242353876
Udaipur,Pulses,Fatehnagar Mandi,2019-03-29,3136.2980697535327
Bhilwara,Cotton,Bhilwara APMC Mandi,2018-09-21,2793.3542693962995
Kota,Guava,Kota APMC Mandi,2019-05-04,1784.465890392089
Udaipur,Opium,Fatehnagar Mandi,2019-01-29,2330.422378236879
Hanumangarh,Mustard,Hanumangarh APMC Mandi,2018-09-10,1956.4031987313838
Kota,Guava,Ramganj Mandi,2018-12-20,2214.7927919754234
Bhilwara,Opium,Bhilwara APMC Mandi,2019-03-01,1558.445600129788
Sri Ganganagar,Fenugreek,Padampur Mandi,2019-01-21,2458.9031266918173
Alwar,Mustard,Tijara Mandi,2018-06-06,2157.4174542516066
Alwar,Onion,Alwar APMC Mandi,2019-02-04,2517.9715770389316
Nagaur,Opium,Didwana Mandi,2018-05-26,2012.4636223352427
Kota,Opium,Ramganj Mandi,2018-12-16,2524.873555951612
Nagaur,Cumin,Didwana Mandi,2018-07-17,2375.525116563902
Nagaur,Coriander,Didwana Mandi,2018-07-19,2950.585889556579
Jodhpur,Barley,Jodhpur APMC Mandi,2019-01-03,2923.4070585236873
Kota,Maize,Kota APMC Mandi,2018-05-18,2735.6036809030848
Jodhpur,Onion,Sojati Gate Mandi,2018-12-25,2402.015865801636
Udaipur,Maize,Udaipur APMC Mandi,2019-01-16,3095.614118578088
Jodhpur,Oilseeds,Sojati Gate Mandi,2018-04-03,2034.0894166480539
Alwar,Mustard,Alwar APMC Mandi,2018-03-27,2078.932411130901
Nagaur,Cotton,Nagaur APMC Mandi,2018-10-30,2474.8650700332805
Jaipur,Mustard,Kukas Mandi,2018-11-06,3176.211432676336
Udaipur,Coriander,Udaipur APMC Mandi,2018-04-17,2439.2983279389737
Kota,Mango,Kota APMC Mandi,2019-04-22,2445.0264270372154
Bhilwara,Pomegranate,Bhilwara APMC Mandi,2018-04-10,2067.4268931664574
Nagaur,Garlic,Nagaur APMC Mandi,2019-04-16,2783.7788755811134
Ajmer,Cotton,Kishangarh Mandi,2019-03-16,2785.952876298806
Bhilwara,Fenugreek,Mandal Mandi,2018-04-13,2736.722560419973
Ajmer,Bajra,Ajmer APMC Mandi,2018-05-10,2311.2337981457913
Alwar,Chilli,Alwar APMC Mandi,2018-05-20,2287.9879694880983
Jodhpur,Cumin,Jodhpur APMC Mandi,2018-05-20,2112.063324878509
Jodhpur,Bajra,Jodhpur APMC Mandi,2019-03-31,2525.16175052828
Kota,Wheat,Ramganj Mandi,2019-05-14,2175.8778012164494
Alwar,Cumin,Alwar APMC Mandi,2019-02-22,2146.7750484252133
Udaipur,Oilseeds,Fatehnagar Mandi,2018-09-06,2372.892784926797
Ajmer,Bajra,Kishangarh Mandi,2018-07-28,2353.253147444735
